LapDistanceNorm,Speed,Throttle,Brake,Time_seconds,Source,LongAccel,LatAccel,SuspTravel_FL,SuspTravel_FR,SuspTravel_RL,SuspTravel_RR
0.02279,319.76,100.0,0.8,2.0511,AC_DEMO_SYNTH,-0.0129,0.0049,93.706,93.441,74.965,74.753
0.02335,319.74,100.0,0.8,2.1012,AC_DEMO_SYNTH,-0.0141,0.0054,93.222,93.782,74.578,75.026
0.0239,319.71,100.0,0.9,2.1512,AC_DEMO_SYNTH,-0.0154,0.0059,93.577,92.823,74.862,74.258
0.02446,319.68,100.0,1.0,2.2012,AC_DEMO_SYNTH,-0.0168,0.0065,93.529,92.889,74.823,74.311
0.02501,319.65,100.0,1.1,2.2513,AC_DEMO_SYNTH,-0.0183,0.0071,93.567,92.589,74.854,74.071
0.02557,319.62,100.0,1.2,2.3013,AC_DEMO_SYNTH,-0.0199,0.0078,93.827,93.408,75.062,74.726
0.02613,319.58,100.0,1.3,2.3513,AC_DEMO_SYNTH,-0.0216,0.0085,93.563,92.936,74.85,74.349
0.02668,319.54,100.0,1.4,2.4013,AC_DEMO_SYNTH,-0.0235,0.0094,93.743,93.217,74.994,74.574
0.02724,319.5,100.0,1.5,2.4514,AC_DEMO_SYNTH,-0.0255,0.0102,93.495,93.624,74.796,74.899
0.02779,319.45,100.0,1.7,2.5014,AC_DEMO_SYNTH,-0.0277,0.0112,93.579,93.087,74.863,74.47
0.02835,319.4,100.0,1.8,2.5514,AC_DEMO_SYNTH,-0.0301,0.0122,93.712,93.422,74.97,74.738
0.0289,319.35,100.0,2.0,2.6014,AC_DEMO_SYNTH,-0.0326,0.0133,92.873,93.195,74.298,74.556
0.02946,319.29,100.0,2.1,2.6515,AC_DEMO_SYNTH,-0.0353,0.0146,93.323,93.565,74.658,74.852
0.03002,319.22,100.0,2.3,2.7015,AC_DEMO_SYNTH,-0.0382,0.0159,93.255,93.464,74.604,74.771
0.03057,319.15,100.0,2.5,2.7515,AC_DEMO_SYNTH,-0.0413,0.0173,93.181,92.976,74.545,74.381
0.03113,319.07,100.0,2.7,2.8016,AC_DEMO_SYNTH,-0.0446,0.0188,93.318,93.161,74.654,74.529
0.03168,318.99,100.0,2.9,2.8516,AC_DEMO_SYNTH,-0.0482,0.0205,94.02,93.621,75.216,74.897
0.03224,318.9,100.0,3.1,2.9016,AC_DEMO_SYNTH,-0.052,0.0223,93.067,93.333,74.454,74.666
0.0328,318.81,100.0,3.4,2.9516,AC_DEMO_SYNTH,-0.056,0.0242,93.792,92.589,75.034,74.071
0.03335,318.71,100.0,3.6,3.0017,AC_DEMO_SYNTH,-0.0603,0.0263,92.723,93.379,74.178,74.703
0.03391,318.6,100.0,3.9,3.0517,AC_DEMO_SYNTH,-0.0649,0.0285,93.251,92.648,74.601,74.118
0.03446,318.48,100.0,4.2,3.1017,AC_DEMO_SYNTH,-0.0698,0.0309,93.438,93.609,74.75,74.887
0.03502,318.35,100.0,4.5,3.1518,AC_DEMO_SYNTH,-0.0751,0.0334,93.594,93.413,74.875,74.73
0.03558,318.21,100.0,4.8,3.2018,AC_DEMO_SYNTH,-0.0806,0.0362,93.629,93.075,74.903,74.46
0.03613,318.06,100.0,5.2,3.2518,AC_DEMO_SYNTH,-0.0865,0.0391,93.645,92.975,74.916,74.38
0.03669,317.91,100.0,5.6,3.3018,AC_DEMO_SYNTH,-0.0928,0.0423,93.175,92.781,74.54,74.225
0.03724,317.74,100.0,6.0,3.3519,AC_DEMO_SYNTH,-0.0994,0.0457,93.111,93.081,74.489,74.465
0.0378,317.55,100.0,6.4,3.4019,AC_DEMO_SYNTH,-0.1064,0.0493,93.617,92.601,74.894,74.081
0.03835,317.36,100.0,6.8,3.4519,AC_DEMO_SYNTH,-0.1138,0.0531,93.177,92.782,74.542,74.226
0.03891,317.15,100.0,7.3,3.5019,AC_DEMO_SYNTH,-0.1217,0.0572,92.719,92.97,74.175,74.376
0.03947,316.93,100.0,7.8,3.552,AC_DEMO_SYNTH,-0.13,0.0616,92.752,92.325,74.202,73.86
0.04002,316.69,100.0,8.3,3.602,AC_DEMO_SYNTH,-0.1387,0.0663,92.81,92.226,74.248,73.781
0.04058,316.44,100.0,8.9,3.652,AC_DEMO_SYNTH,-0.148,0.0712,93.348,91.914,74.678,73.531
0.04113,316.17,100.0,9.5,3.7021,AC_DEMO_SYNTH,-0.1577,0.0765,93.175,91.878,74.54,73.502
0.04169,315.88,100.0,10.1,3.7521,AC_DEMO_SYNTH,-0.1679,0.0821,93.359,91.478,74.687,73.182
0.04225,315.58,100.0,10.7,3.8021,AC_DEMO_SYNTH,-0.1787,0.088,92.878,92.404,74.302,73.923
0.0428,315.25,100.0,11.4,3.8521,AC_DEMO_SYNTH,-0.19,0.0943,93.071,92.728,74.457,74.182
0.04336,314.91,100.0,12.1,3.9022,AC_DEMO_SYNTH,-0.2018,0.1009,93.218,92.464,74.574,73.971
0.04391,314.54,100.0,12.9,3.9522,AC_DEMO_SYNTH,-0.2143,0.1079,92.797,91.123,74.238,72.898
0.04447,314.15,100.0,13.6,4.0022,AC_DEMO_SYNTH,-0.2273,0.1154,93.056,91.935,74.445,73.548
0.04503,313.74,100.0,14.5,4.0523,AC_DEMO_SYNTH,-0.2409,0.1232,92.557,92.079,74.046,73.663
0.04558,313.3,100.0,15.3,4.1023,AC_DEMO_SYNTH,-0.2551,0.1314,92.619,91.184,74.095,72.947
0.04614,312.83,100.0,16.2,4.1523,AC_DEMO_SYNTH,-0.27,0.1401,92.55,91.253,74.04,73.002
0.04669,312.34,100.0,17.1,4.2023,AC_DEMO_SYNTH,-0.2855,0.1492,92.16,90.248,73.728,72.198
0.04725,311.83,100.0,18.1,4.2524,AC_DEMO_SYNTH,-0.3016,0.1588,92.768,90.99,74.214,72.792
0.0478,311.28,100.0,19.1,4.3024,AC_DEMO_SYNTH,-0.3184,0.1688,92.311,90.277,73.849,72.222
0.04836,310.7,100.0,20.2,4.3524,AC_DEMO_SYNTH,-0.3359,0.1794,92.425,90.591,73.94,72.473
0.04892,310.09,100.0,21.2,4.4024,AC_DEMO_SYNTH,-0.354,0.1904,92.529,89.686,74.023,71.749
0.04947,309.45,50.0,22.4,4.4525,AC_DEMO_SYNTH,-0.3728,0.2018,92.427,90.318,73.942,72.254
0.05003,308.77,50.0,23.5,4.5025,AC_DEMO_SYNTH,-0.3923,0.2138,92.418,90.287,73.934,72.23
0.05058,308.06,50.0,24.8,4.5525,AC_DEMO_SYNTH,-0.4125,0.2263,92.013,89.331,73.61,71.465
0.05114,307.32,50.0,26.0,4.6026,AC_DEMO_SYNTH,-0.4334,0.2393,91.778,88.947,73.422,71.158
0.0517,306.53,50.0,27.3,4.6526,AC_DEMO_SYNTH,-0.455,0.2528,91.801,88.28,73.441,70.624
0.05225,305.71,50.0,28.6,4.7026,AC_DEMO_SYNTH,-0.4772,0.2668,91.038,88.768,72.83,71.014
0.05281,304.85,50.0,30.0,4.7526,AC_DEMO_SYNTH,-0.5002,0.2814,91.009,88.361,72.807,70.689
0.05336,303.94,50.0,31.4,4.8027,AC_DEMO_SYNTH,-0.5237,0.2964,90.921,87.676,72.737,70.141
0.05392,302.99,50.0,32.9,4.8527,AC_DEMO_SYNTH,-0.548,0.3119,90.908,88.169,72.726,70.535
0.05447,302.0,50.0,34.4,4.9027,AC_DEMO_SYNTH,-0.5729,0.3279,91.316,87.487,73.053,69.99
0.05503,300.97,50.0,35.9,4.9528,AC_DEMO_SYNTH,-0.5984,0.3444,90.636,86.903,72.509,69.522
0.05559,299.89,50.0,37.5,5.0028,AC_DEMO_SYNTH,-0.6246,0.3613,90.679,86.764,72.543,69.411
0.05614,298.76,50.0,39.1,5.0528,AC_DEMO_SYNTH,-0.6513,0.3787,91.171,87.051,72.937,69.641
0.0567,297.59,50.0,40.7,5.1028,AC_DEMO_SYNTH,-0.6786,0.3965,90.324,86.489,72.259,69.191
0.05725,296.37,50.0,42.4,5.1529,AC_DEMO_SYNTH,-0.7064,0.4147,90.566,85.806,72.453,68.645
0.05781,295.09,50.0,44.1,5.2029,AC_DEMO_SYNTH,-0.7348,0.4333,89.689,85.7,71.751,68.56
0.05837,293.77,50.0,45.8,5.2529,AC_DEMO_SYNTH,-0.7636,0.4523,89.764,84.57,71.811,67.656
0.05892,292.39,50.0,47.6,5.3029,AC_DEMO_SYNTH,-0.7929,0.4715,89.237,84.613,71.39,67.69
0.05948,290.97,50.0,49.4,5.353,AC_DEMO_SYNTH,-0.8226,0.4911,89.245,84.214,71.396,67.371
0.06003,289.49,50.0,51.2,5.403,AC_DEMO_SYNTH,-0.8527,0.5109,89.467,83.507,71.574,66.806
0.06059,287.95,50.0,53.0,5.453,AC_DEMO_SYNTH,-0.883,0.5309,88.176,83.393,70.541,66.714
0.06115,286.37,50.0,54.8,5.5031,AC_DEMO_SYNTH,-0.9137,0.551,88.77,82.421,71.016,65.937
0.0617,284.73,50.0,56.7,5.5531,AC_DEMO_SYNTH,-0.9446,0.5713,88.406,82.436,70.725,65.949
0.06226,283.03,50.0,58.5,5.6031,AC_DEMO_SYNTH,-0.9756,0.5917,87.774,81.937,70.219,65.55
0.06281,281.28,50.0,60.4,5.6531,AC_DEMO_SYNTH,-1.0068,0.612,87.123,80.023,69.698,64.018
0.06337,279.47,50.0,62.3,5.7032,AC_DEMO_SYNTH,-1.038,0.6324,87.406,81.125,69.925,64.9
0.06392,277.61,50.0,64.1,5.7532,AC_DEMO_SYNTH,-1.0692,0.6527,86.83,78.878,69.464,63.102
0.06448,275.69,50.0,66.0,5.8032,AC_DEMO_SYNTH,-1.1003,0.6728,86.784,79.286,69.427,63.429
0.06504,273.72,50.0,67.9,5.8533,AC_DEMO_SYNTH,-1.1312,0.6927,86.338,79.369,69.07,63.495
0.06559,271.7,50.0,69.7,5.9033,AC_DEMO_SYNTH,-1.162,0.7124,86.596,78.248,69.277,62.598
0.06615,269.62,50.0,71.5,5.9533,AC_DEMO_SYNTH,-1.1924,0.7317,85.47,77.193,68.376,61.754
0.0667,267.48,50.0,73.3,6.0033,AC_DEMO_SYNTH,-1.2225,0.7507,84.751,76.736,67.801,61.389
0.06726,265.3,50.0,75.1,6.0534,AC_DEMO_SYNTH,-1.2521,0.7692,84.818,76.972,67.854,61.578
0.06782,263.06,50.0,76.9,6.1034,AC_DEMO_SYNTH,-1.2812,0.7872,84.404,75.171,67.523,60.137
0.06837,260.77,50.0,78.6,6.1534,AC_DEMO_SYNTH,-1.3097,0.8047,84.416,75.762,67.533,60.61
0.06893,258.43,50.0,80.2,6.2034,AC_DEMO_SYNTH,-1.3374,0.8215,83.75,74.653,67.0,59.722
0.06948,256.04,50.0,81.9,6.2535,AC_DEMO_SYNTH,-1.3644,0.8377,83.088,73.555,66.47,58.844
0.07004,253.61,50.0,83.4,6.3035,AC_DEMO_SYNTH,-1.3905,0.8531,83.049,73.154,66.439,58.523
0.07059,251.13,50.0,84.9,6.3535,AC_DEMO_SYNTH,-1.4157,0.8677,81.493,72.329,65.194,57.863
0.07115,248.61,50.0,86.4,6.4036,AC_DEMO_SYNTH,-1.4398,0.8815,81.206,72.429,64.965,57.943
0.07171,246.04,50.0,87.8,6.4536,AC_DEMO_SYNTH,-1.4628,0.8945,80.571,71.717,64.457,57.374
0.07226,243.44,50.0,89.1,6.5036,AC_DEMO_SYNTH,-1.4845,0.9065,80.255,70.078,64.204,56.062
0.07282,240.8,50.0,90.3,6.5536,AC_DEMO_SYNTH,-1.505,0.9175,79.318,69.945,63.454,55.956
0.07337,238.12,50.0,91.4,6.6037,AC_DEMO_SYNTH,-1.524,0.9275,79.568,69.1,63.654,55.28
0.07393,235.41,50.0,92.5,6.6537,AC_DEMO_SYNTH,-1.5415,0.9365,78.661,69.303,62.929,55.442
0.07449,232.67,50.0,93.4,6.7037,AC_DEMO_SYNTH,-1.5575,0.9445,77.588,67.586,62.07,54.069
0.07504,229.91,50.0,94.3,6.7538,AC_DEMO_SYNTH,-1.5718,0.9514,77.188,68.113,61.75,54.49
0.0756,227.12,50.0,95.1,6.8038,AC_DEMO_SYNTH,-1.5843,0.9572,77.128,66.804,61.702,53.443
0.07615,224.31,50.0,95.7,6.8538,AC_DEMO_SYNTH,-1.5951,0.9619,76.738,65.703,61.39,52.562
0.07671,221.48,50.0,96.2,6.9038,AC_DEMO_SYNTH,-1.6039,0.9655,76.594,65.251,61.275,52.201
0.07727,218.64,50.0,96.6,6.9539,AC_DEMO_SYNTH,-1.6108,0.968,76.348,64.562,61.078,51.65
0.07782,215.79,50.0,96.9,7.0039,AC_DEMO_SYNTH,-1.6156,0.9695,74.729,63.738,59.783,50.99
0.07838,212.93,50.0,97.1,7.0539,AC_DEMO_SYNTH,-1.6183,0.9698,73.543,63.657,58.834,50.926
0.07893,210.07,50.0,97.1,7.1039,AC_DEMO_SYNTH,-1.6188,0.9692,72.458,62.507,57.966,50.006
0.07949,207.21,50.0,97.0,7.154,AC_DEMO_SYNTH,-1.617,0.9675,72.785,61.512,58.228,49.21
0.08004,204.36,50.0,96.8,7.204,AC_DEMO_SYNTH,-1.613,0.9648,71.72,61.627,57.376,49.302
0.0806,201.51,50.0,96.4,7.254,AC_DEMO_SYNTH,-1.6067,0.9612,71.242,60.46,56.994,48.368
0.08116,198.68,50.0,95.9,7.3041,AC_DEMO_SYNTH,-1.5979,0.9568,70.528,60.291,56.422,48.233
0.08171,195.87,50.0,95.2,7.3541,AC_DEMO_SYNTH,-1.5868,0.9514,70.081,59.65,56.065,47.72
0.08227,193.08,50.0,94.4,7.4041,AC_DEMO_SYNTH,-1.5731,0.9453,69.928,59.095,55.942,47.276
0.08282,190.31,50.0,93.4,7.4541,AC_DEMO_SYNTH,-1.557,0.9384,68.931,59.683,55.145,47.746
0.08338,187.57,50.0,92.3,7.5042,AC_DEMO_SYNTH,-1.5384,0.9308,68.173,58.355,54.538,46.684
0.08394,184.87,50.0,91.0,7.5542,AC_DEMO_SYNTH,-1.5173,0.9227,67.195,57.89,53.756,46.312
0.08449,182.21,50.0,89.6,7.6042,AC_DEMO_SYNTH,-1.4936,0.914,66.318,56.552,53.054,45.242
0.08505,179.6,50.0,88.0,7.6543,AC_DEMO_SYNTH,-1.4674,0.9048,66.177,56.483,52.942,45.186
0.0856,177.03,50.0,86.3,7.7043,AC_DEMO_SYNTH,-1.4387,0.8951,65.739,56.323,52.591,45.058
0.08616,174.51,50.0,84.4,7.7543,AC_DEMO_SYNTH,-1.4075,0.8852,65.864,55.328,52.691,44.262
0.08671,172.05,50.0,82.4,7.8043,AC_DEMO_SYNTH,-1.3738,0.875,64.613,55.614,51.69,44.491
0.08727,169.66,50.0,80.3,7.8544,AC_DEMO_SYNTH,-1.3376,0.8645,64.368,54.295,51.494,43.436
0.08783,167.33,50.0,77.9,7.9044,AC_DEMO_SYNTH,-1.299,0.854,63.198,54.196,50.558,43.357
0.08838,165.07,50.0,75.5,7.9544,AC_DEMO_SYNTH,-1.2581,0.8434,62.357,53.622,49.886,42.898
0.08894,162.88,50.0,72.9,8.0044,AC_DEMO_SYNTH,-1.2148,0.8328,61.888,53.478,49.51,42.782
0.08949,160.77,50.0,70.2,8.0545,AC_DEMO_SYNTH,-1.1692,0.8223,61.439,52.723,49.151,42.178
0.09005,158.75,50.0,67.3,8.1045,AC_DEMO_SYNTH,-1.1214,0.8119,62.049,52.45,49.639,41.96
0.09061,156.81,50.0,64.3,8.1545,AC_DEMO_SYNTH,-1.0715,0.8017,60.349,52.053,48.279,41.642
0.09116,154.96,50.0,61.2,8.2046,AC_DEMO_SYNTH,-1.0195,0.7918,60.507,51.453,48.406,41.162
0.09172,153.21,50.0,57.9,8.2546,AC_DEMO_SYNTH,-0.9655,0.7822,59.32,51.553,47.456,41.242
0.09227,151.55,50.0,54.6,8.3046,AC_DEMO_SYNTH,-0.9097,0.7729,59.577,51.076,47.662,40.861
0.09283,150.0,50.0,51.1,8.3546,AC_DEMO_SYNTH,-0.852,0.7641,58.898,50.578,47.118,40.462
0.09339,148.54,50.0,47.6,8.4047,AC_DEMO_SYNTH,-0.7927,0.7558,58.235,50.084,46.588,40.067
0.09394,147.19,50.0,43.9,8.4547,AC_DEMO_SYNTH,-0.7318,0.748,57.852,50.228,46.282,40.182
0.0945,145.96,50.0,40.2,8.5047,AC_DEMO_SYNTH,-0.6694,0.7407,57.196,49.482,45.757,39.586
0.09505,144.83,50.0,36.3,8.5548,AC_DEMO_SYNTH,-0.6057,0.7341,57.241,49.129,45.793,39.303
0.09561,143.82,50.0,32.4,8.6048,AC_DEMO_SYNTH,-0.5407,0.728,56.504,48.982,45.203,39.186
0.09616,142.92,50.0,28.5,8.6548,AC_DEMO_SYNTH,-0.4747,0.7226,55.838,49.318,44.67,39.454
0.09672,142.14,50.0,24.5,8.7048,AC_DEMO_SYNTH,-0.4077,0.7179,55.477,47.814,44.382,38.251
0.09728,141.48,50.0,20.4,8.7549,AC_DEMO_SYNTH,-0.3398,0.7139,55.738,48.38,44.59,38.704
0.09783,140.94,50.0,16.3,8.8049,AC_DEMO_SYNTH,-0.2713,0.7106,56.0,47.05,44.8,37.64
0.09839,140.52,50.0,12.1,8.8549,AC_DEMO_SYNTH,-0.2022,0.708,55.152,47.642,44.122,38.114
0.09894,140.22,50.0,8.0,8.9049,AC_DEMO_SYNTH,-0.1327,0.7062,54.781,47.944,43.825,38.355
0.0995,140.05,50.0,3.8,8.955,AC_DEMO_SYNTH,-0.0629,0.7051,54.704,47.283,43.763,37.826
0.10006,140.0,51.3,0.0,9.005,AC_DEMO_SYNTH,0.007,0.7048,54.896,46.942,43.917,37.554
0.10061,140.07,63.8,0.0,9.055,AC_DEMO_SYNTH,0.0769,0.7053,54.266,46.45,43.413,37.16
0.10117,140.27,76.4,0.0,9.1051,AC_DEMO_SYNTH,0.1466,0.7065,53.842,46.502,43.074,37.202
0.10172,140.59,88.9,0.0,9.1551,AC_DEMO_SYNTH,0.2161,0.7085,54.3,46.218,43.44,36.974
0.10228,141.04,100.0,0.0,9.2051,AC_DEMO_SYNTH,0.2851,0.7112,53.903,45.85,43.122,36.68
0.10283,141.6,100.0,0.0,9.2551,AC_DEMO_SYNTH,0.3535,0.7146,54.243,45.909,43.394,36.727
0.10339,142.28,100.0,0.0,9.3052,AC_DEMO_SYNTH,0.4212,0.7188,53.623,45.981,42.898,36.785
0.10395,143.09,100.0,0.0,9.3552,AC_DEMO_SYNTH,0.488,0.7236,53.006,45.49,42.405,36.392
0.1045,144.01,100.0,0.0,9.4052,AC_DEMO_SYNTH,0.5538,0.7292,52.92,45.386,42.336,36.309
0.10506,145.05,100.0,0.0,9.4553,AC_DEMO_SYNTH,0.6185,0.7353,54.123,45.095,43.298,36.076
0.10561,146.19,100.0,0.0,9.5053,AC_DEMO_SYNTH,0.682,0.7421,54.171,45.742,43.337,36.594
0.10617,147.46,100.0,0.0,9.5553,AC_DEMO_SYNTH,0.7441,0.7495,53.458,45.773,42.766,36.618
0.10673,148.82,100.0,0.0,9.6053,AC_DEMO_SYNTH,0.8047,0.7574,53.447,45.634,42.758,36.507
0.10728,150.3,100.0,0.0,9.6554,AC_DEMO_SYNTH,0.8637,0.7659,54.284,45.936,43.427,36.749
0.10784,151.88,100.0,0.0,9.7054,AC_DEMO_SYNTH,0.921,0.7748,53.381,45.614,42.705,36.491
0.10839,153.55,100.0,0.0,9.7554,AC_DEMO_SYNTH,0.9765,0.7841,53.614,45.786,42.891,36.629
0.10895,155.33,100.0,0.0,9.8054,AC_DEMO_SYNTH,1.03,0.7937,54.406,45.825,43.525,36.66
0.10951,157.19,100.0,0.0,9.8555,AC_DEMO_SYNTH,1.0816,0.8037,54.191,45.761,43.353,36.609
0.11006,159.15,100.0,0.0,9.9055,AC_DEMO_SYNTH,1.1311,0.8139,54.575,45.705,43.66,36.564
0.11062,161.19,100.0,0.0,9.9555,AC_DEMO_SYNTH,1.1785,0.8243,54.764,46.945,43.811,37.556
0.11117,163.31,100.0,0.0,10.0056,AC_DEMO_SYNTH,1.2236,0.8349,55.243,46.044,44.194,36.835
0.11173,165.51,100.0,0.0,10.0556,AC_DEMO_SYNTH,1.2664,0.8455,55.975,46.149,44.78,36.919
0.11228,167.79,100.0,0.0,10.1056,AC_DEMO_SYNTH,1.3069,0.8561,55.777,46.806,44.622,37.445
0.11284,170.13,100.0,0.0,10.1556,AC_DEMO_SYNTH,1.345,0.8666,56.351,46.973,45.081,37.578
0.1134,172.54,100.0,0.0,10.2057,AC_DEMO_SYNTH,1.3807,0.877,55.65,46.576,44.52,37.261
0.11395,175.01,100.0,0.0,10.2557,AC_DEMO_SYNTH,1.4139,0.8872,56.85,47.879,45.48,38.303
0.11451,177.54,100.0,0.0,10.3057,AC_DEMO_SYNTH,1.4446,0.8971,56.955,47.71,45.564,38.168
0.11506,180.11,100.0,0.0,10.3558,AC_DEMO_SYNTH,1.4729,0.9066,57.247,47.644,45.798,38.115
0.11562,182.74,100.0,0.0,10.4058,AC_DEMO_SYNTH,1.4985,0.9157,57.85,48.933,46.28,39.146
0.11618,185.41,100.0,0.0,10.4558,AC_DEMO_SYNTH,1.5217,0.9244,58.554,49.102,46.843,39.282
0.11673,188.12,100.0,0.0,10.5058,AC_DEMO_SYNTH,1.5423,0.9324,59.559,48.766,47.647,39.013
0.11729,190.86,100.0,0.0,10.5559,AC_DEMO_SYNTH,1.5604,0.9398,59.185,50.427,47.348,40.342
0.11784,193.63,100.0,0.0,10.6059,AC_DEMO_SYNTH,1.5761,0.9466,60.269,50.448,48.215,40.358
0.1184,196.43,100.0,0.0,10.6559,AC_DEMO_SYNTH,1.5892,0.9525,60.62,50.675,48.496,40.54
0.11895,199.25,100.0,0.0,10.7059,AC_DEMO_SYNTH,1.5999,0.9577,61.257,51.834,49.006,41.467
0.11951,202.08,100.0,0.0,10.756,AC_DEMO_SYNTH,1.6081,0.962,62.375,51.802,49.9,41.442
0.12007,204.93,100.0,0.0,10.806,AC_DEMO_SYNTH,1.614,0.9655,62.791,52.291,50.233,41.833
0.12062,207.79,100.0,0.0,10.856,AC_DEMO_SYNTH,1.6176,0.9679,63.723,52.626,50.978,42.101
0.12118,210.65,100.0,0.0,10.9061,AC_DEMO_SYNTH,1.6188,0.9694,63.751,53.73,51.001,42.984
0.12173,213.51,100.0,0.0,10.9561,AC_DEMO_SYNTH,1.6179,0.9698,64.167,54.317,51.334,43.454
0.12229,216.36,100.0,0.0,11.0061,AC_DEMO_SYNTH,1.6148,0.9693,64.996,54.778,51.997,43.822
